Urza's Saga:
  2023-04-11: $24.66
  2023-04-12: $25.88
  2023-04-13: $27.14
  2023-04-14: $28.14
  2023-04-15: $28.69

Murktide Regent:
  2023-04-11: $9.82
  2023-04-12: $9.98
  2023-04-13: $10.21
  2023-04-14: $9.52
  2023-04-15: $9.84

Ragavan, Nimble Pilferer:
  2023-04-11: $53.05
  2023-04-12: $53.12
  2023-04-13: $55.24
  2023-04-14: $58.21
  2023-04-15: $59.36

Consider:
  2023-04-11: $0.85
  2023-04-12: $0.87
  2023-04-13: $0.88
  2023-04-14: $0.78
  2023-04-15: $0.78

Tropical Island:
  2023-04-11: $411.50
  2023-04-12: $415.86
  2023-04-13: $421.12
  2023-04-14: $425.35
  2023-04-15: $437.21

Solitude:
  2023-04-11: $37.25
  2023-04-12: $37.50
  2023-04-13: $37.50
  2023-04-14: $35.01
  2023-04-15: $35.23

Fable of the Mirror Breaker:
  2023-04-11: $21.25
  2023-04-12: $22.37
  2023-04-13: $22.37
  2023-04-14: $20.12
  2023-04-15: $20.88

Arid Mesa:
  2023-04-11: $13.75
  2023-04-12: $13.80
  2023-04-13: $13.80
  2023-04-14: $13.40
  2023-04-15: $13.72

Walking Ballista:
  2023-04-11: $12.25
  2023-04-12: $12.57
  2023-04-13: $12.57
  2023-04-14: $13.02
  2023-04-15: $13.86

